index,x,y,z,HoldTime,GimbalPitch
1,3.0369783742676115,3.0037102130563937,1,0.5,-90.0
2,3.0515102303423767,3.0104416406217633,1,0.5,-90.0
3,3.0729282684374635,3.0398408946273827,1,0.5,-90.0
4,3.073234867693581,3.0754054434977927,1,0.5,-90.0
5,3.0559098838328684,3.1098494841962787,1,0.5,-90.0
6,3.0236347986550456,3.1370318142408067,1,0.5,-90.0
7,2.9802569956631877,3.1519540494180602,1,0.5,-90.0
8,2.9308352979582053,3.151127631091927,1,0.5,-90.0
9,2.8812479770463404,3.132908884073261,1,0.5,-90.0
10,2.837619441162727,3.097687594228126,1,0.5,-90.0
11,2.8056777939649127,3.0478820397355775,1,0.5,-90.0
12,2.7901269362167396,2.987727913013352,1,0.5,-90.0
13,2.7941055536397443,2.9228748970050447,1,0.5,-90.0
14,2.818793626536426,2.859826706169269,1,0.5,-90.0
15,2.8632114659185457,2.805277899137715,1,0.5,-90.0
16,2.9242368078258147,2.7654126263731347,1,0.5,-90.0
17,2.9968435690042354,2.7452357332157034,1,0.5,-90.0
18,3.0745434281863635,2.748004822398932,1,0.5,-90.0
19,3.1499905739178664,2.7748231417552933,1,0.5,-90.0
20,3.2156927870826424,2.8244383046137695,1,0.5,-90.0
21,3.264760223671413,2.8932722679851794,1,0.5,-90.0
22,3.2916180550271417,2.9756855529581894,1,0.5,-90.0
23,3.292611109149718,3.064455555913607,1,0.5,-90.0
24,3.2664377475535864,3.151427223766831,1,0.5,-90.0
25,3.21436562732675,3.2282764831802995,1,0.5,-90.0
26,3.140202334035533,3.2873144236138234,1,0.5,-90.0
27,3.0500172293769943,3.322254630353393,1,0.5,-90.0
28,2.9516350210952353,3.3288679010902293,1,0.5,-90.0
29,2.854335081582494,3.3056162974126524,1,0.5,-90.0
30,2.7678936870750004,3.2545846972955825,1,0.5,-90.0
31,2.6991633008891545,3.179547418552753,1,0.5,-90.0
32,2.6549393205103553,3.087587686837046,1,0.5,-90.0
33,2.6387305643324495,2.9855010616642,1,0.5,-90.0
34,2.6522594893202154,2.882788142417708,1,0.5,-90.0
35,2.6947489111674927,2.786900971230474,1,0.5,-90.0
36,2.762527239140852,2.7066136607262155,1,0.5,-90.0
37,2.850997982029667,2.647665487326602,1,0.5,-90.0
38,2.9524593793414122,2.6154115117734653,1,0.5,-90.0
39,3.0600803570096318,2.6122108368242576,1,0.5,-90.0
40,3.1646111089912794,2.6385138935128687,1,0.5,-90.0
41,3.2591152552288176,2.6927492673921645,1,0.5,-90.0
42,3.3355752239154923,2.7705068411914366,1,0.5,-90.0
43,3.3889655792774005,2.86690374622295,1,0.5,-90.0
44,3.414765523988258,2.974102125256501,1,0.5,-90.0
45,3.411211084094447,3.0854208802210152,1,0.5,-90.0
46,3.378438517556358,3.1919081394167113,1,0.5,-90.0
47,3.318315581327569,3.2870042913655255,1,0.5,-90.0
48,3.2354578988534577,3.3631421776803854,1,0.5,-90.0
49,3.1347319269407494,3.41566301726173,1,0.5,-90.0
50,3.023858979107271,3.440387242241168,1,0.5,-90.0
51,2.90930867253332,3.4357373104480207,1,0.5,-90.0
52,2.7997790838143426,3.401935935664009,1,0.5,-90.0
53,2.7015997113253434,3.3408045308942915,1,0.5,-90.0
54,2.6221584995426905,3.25679608154754,1,0.5,-90.0
55,2.566020907684412,3.154562549534774,1,0.5,-90.0
56,2.5374094766875555,3.0415445182527256,1,0.5,-90.0
57,2.538020395261915,2.923968715712786,1,0.5,-90.0
58,2.567924928526047,2.8103226101714567,1,0.5,-90.0
59,2.6256046199400345,2.7068161131287503,1,0.5,-90.0
60,2.7070565527217716,2.6208607596117077,1,0.5,-90.0
61,2.8080018469642463,2.557128630698389,1,0.5,-90.0
62,2.9214276419691245,2.5201740703025988,1,0.5,-90.0
63,3.041395017228992,2.512041328886446,1,0.5,-90.0
64,3.159627539954922,2.533395217385058,1,0.5,-90.0
65,3.2699781864250195,2.583227571752631,1,0.5,-90.0
66,3.3648905017130777,2.6582358345129107,1,0.5,-90.0
67,3.4394562922266565,2.754664898086741,1,0.5,-90.0
68,3.488587870619672,2.8660936606879797,1,0.5,-90.0
69,3.5097251662875615,2.9869490359097752,1,0.5,-90.0
70,3.5013734256310927,3.109229260118689,1,0.5,-90.0
71,3.46385654054596,3.226854798253861,1,0.5,-90.0
72,3.399545919591075,3.332091152206625,1,0.5,-90.0
73,3.3115181121701394,3.4197344054297765,1,0.5,-90.0
74,3.2054089589058954,3.484048681190901,1,0.5,-90.0
75,3.0863082029626683,3.52184865268176,1,0.5,-90.0
76,2.9618093092964375,3.5306342810366553,1,0.5,-90.0
77,2.837856038302584,3.509902521650295,1,0.5,-90.0
78,2.72230188305866,3.460882306464858,1,0.5,-90.0
79,2.620634609134683,3.385813548180316,1,0.5,-90.0
80,2.539261520983333,3.289326326235772,1,0.5,-90.0
81,2.4820405482147114,3.175872706921802,1,0.5,-90.0
82,2.4525827833377596,3.0524369451749966,1,0.5,-90.0
83,2.4523222786149788,2.924696946033477,1,0.5,-90.0
84,2.4813520169087004,2.800473402168958,1,0.5,-90.0
85,2.5384200621535435,2.685452782297494,1,0.5,-90.0
86,2.6201354908400436,2.5866384843661003,1,0.5,-90.0
87,2.7228648326415197,2.5085389124447857,1,0.5,-90.0
88,2.84048944754363,2.4558977902332657,1,0.5,-90.0
89,2.967782137163232,2.4311325684525507,1,0.5,-90.0
90,3.0971944731282126,2.435784696708193,1,0.5,-90.0
91,3.2229990387780325,2.469717927260687,1,0.5,-90.0
92,3.337775217086628,2.531003069661282,1,0.5,-90.0
