index,x,y,z,HoldTime,GimblePitch
1,2.75,2.75,1.0,10.016666666666667,0.0
2,3.0,2.75,1.0,10.016666666666667,0.0
3,3.25,2.75,1.0,10.016666666666667,0.0
4,3.25,2.9166666666666665,1.0,10.016666666666667,0.0
5,3.0,2.9166666666666665,1.0,10.016666666666667,0.0
6,2.75,2.9166666666666665,1.0,10.016666666666667,0.0
7,2.75,3.0833333333333335,1.0,10.016666666666667,0.0
8,3.0,3.0833333333333335,1.0,10.016666666666667,0.0
9,3.25,3.0833333333333335,1.0,10.016666666666667,0.0
10,3.25,3.25,1.0,10.016666666666667,0.0
11,3.0,3.25,1.0,10.016666666666667,0.0
12,2.75,3.25,1.0,10.016666666666667,0.0
