index,x,y,z,HoldTime,GimblePitch
1,1.1,1.1,1.0,10.016666666666667,0.0
2,2.033333333333333,1.1,1.0,10.016666666666667,0.0
3,2.966666666666667,1.1,1.0,10.016666666666667,0.0
4,3.8999999999999995,1.1,1.0,10.016666666666667,0.0
5,3.8999999999999995,1.6600000000000001,1.0,10.016666666666667,0.0
6,2.966666666666667,1.6600000000000001,1.0,10.016666666666667,0.0
7,2.033333333333333,1.6600000000000001,1.0,10.016666666666667,0.0
8,1.1,1.6600000000000001,1.0,10.016666666666667,0.0
9,1.1,2.2199999999999998,1.0,10.016666666666667,0.0
10,2.033333333333333,2.2199999999999998,1.0,10.016666666666667,0.0
11,2.966666666666667,2.2199999999999998,1.0,10.016666666666667,0.0
12,3.8999999999999995,2.2199999999999998,1.0,10.016666666666667,0.0
13,3.8999999999999995,2.78,1.0,10.016666666666667,0.0
14,2.966666666666667,2.78,1.0,10.016666666666667,0.0
15,2.033333333333333,2.78,1.0,10.016666666666667,0.0
16,1.1,2.78,1.0,10.016666666666667,0.0
17,1.1,3.34,1.0,10.016666666666667,0.0
18,2.033333333333333,3.34,1.0,10.016666666666667,0.0
19,2.966666666666667,3.34,1.0,10.016666666666667,0.0
20,3.8999999999999995,3.34,1.0,10.016666666666667,0.0
21,3.8999999999999995,3.9,1.0,10.016666666666667,0.0
22,2.966666666666667,3.9,1.0,10.016666666666667,0.0
23,2.033333333333333,3.9,1.0,10.016666666666667,0.0
24,1.1,3.9,1.0,10.016666666666667,0.0
