T2025_08_12__152020_170,user,41,129,3,2.413,3.459,0.269,2,na,107,0,na,na,na,,,
T2025_08_12__152020_172,user,41,133,3,na,na,na,9051,-492,417,4172,na,na,na,na,na,na
T2025_08_12__152020_300,user,53,,,,,,,,,,,,,,,
T2025_08_12__152020_315,user,41,129,3,2.413,3.466,0.274,2,na,107,0,na,na,na,,,
T2025_08_12__152020_317,user,41,133,3,na,na,na,9054,-489,483,4178,na,na,na,na,na,na
T2025_08_12__152020_446,user,53,,,,,,,,,,,,,,,
T2025_08_12__152020_461,user,41,129,3,2.41,3.47,0.275,2,na,107,1,0.254,0,0.768,,,
T2025_08_12__152020_463,user,41,133,3,na,na,na,9061,-602,400,4169,na,na,na,na,na,na
T2025_08_12__152020_591,user,53,,,,,,,,,,,,,,,
T2025_08_12__152020_606,user,41,129,3,2.408,3.469,0.27,2,na,107,0,na,na,na,,,
T2025_08_12__152020_608,user,41,133,3,na,na,na,9053,-505,383,4170,na,na,na,na,na,na
T2025_08_12__152020_612,user,1,C:\Users\Ben Drury\Downloads\marvelmind_DJI_SW\_dashboard_v8_243_master_exe\maps\map_2025_08_12__1520_autosave.ini,,,,,,,,,,,,,,
T2025_08_12__152020_737,user,53,,,,,,,,,,,,,,,
T2025_08_12__152020_751,user,41,129,3,2.407,3.47,0.272,2,na,108,0,na,na,na,,,
T2025_08_12__152020_754,user,41,133,3,na,na,na,9064,-576,452,4175,na,na,na,na,na,na
T2025_08_12__152020_882,user,53,,,,,,,,,,,,,,,
T2025_08_12__152020_897,user,41,129,3,2.408,3.468,0.27,2,na,107,0,na,na,na,,,
T2025_08_12__152020_899,user,41,133,3,na,na,na,9055,-502,481,4177,na,na,na,na,na,na
T2025_08_12__152021_027,user,53,,,,,,,,,,,,,,,
T2025_08_12__152021_042,user,41,129,3,2.408,3.468,0.27,2,na,107,0,na,na,na,,,
T2025_08_12__152021_044,user,41,133,3,na,na,na,9054,-509,384,4169,na,na,na,na,na,na
T2025_08_12__152021_173,user,53,,,,,,,,,,,,,,,
T2025_08_12__152021_188,user,41,129,3,2.414,3.464,0.274,2,na,107,0,na,na,na,,,
T2025_08_12__152021_190,user,41,133,3,na,na,na,9055,-485,517,4180,na,na,na,na,na,na
T2025_08_12__152021_318,user,53,,,,,,,,,,,,,,,
T2025_08_12__152021_333,user,41,129,3,2.408,3.469,0.273,2,na,107,0,na,na,na,,,
T2025_08_12__152021_335,user,41,133,3,na,na,na,9068,-545,462,4180,na,na,na,na,na,na
T2025_08_12__152021_464,user,53,,,,,,,,,,,,,,,
